Date,Team,Season,Opp,R,RA,W/L,Rank
"Saturday, Jun 16",TOR,2018,WSN,2.0,0.0,W,3.0
"Sunday, Jun 17",TOR,2018,WSN,8.0,6.0,W,3.0
"Tuesday, Jun 19",TOR,2018,ATL,4.0,11.0,L,4.0
"Wednesday, Jun 20",TOR,2018,ATL,5.0,4.0,W,3.0
"Thursday, Jun 21",TOR,2018,LAA,5.0,8.0,L,3.0
"Friday, Jun 22",TOR,2018,LAA,1.0,2.0,L,4.0
"Saturday, Jun 23",TOR,2018,LAA,4.0,1.0,W,4.0
"Sunday, Jun 24",TOR,2018,LAA,7.0,6.0,W,4.0
"Monday, Jun 25",TOR,2018,HOU,6.0,3.0,W,4.0
"Tuesday, Jun 26",TOR,2018,HOU,0.0,7.0,L,4.0
"Wednesday, Jun 27",TOR,2018,HOU,6.0,7.0,L-wo,4.0
"Friday, Jun 29",TOR,2018,DET,3.0,2.0,W,4.0
"Saturday, Jun 30",TOR,2018,DET,4.0,3.0,W-wo,4.0
"Sunday, Jul 1",TOR,2018,DET,1.0,9.0,L,4.0
"Monday, Jul 2",TOR,2018,DET,2.0,3.0,L,4.0
"Tuesday, Jul 3",TOR,2018,NYM,8.0,6.0,W,4.0
"Wednesday, Jul 4",TOR,2018,NYM,3.0,6.0,L,4.0
"Friday, Jul 6",TOR,2018,NYY,6.0,2.0,W,4.0
"Saturday, Jul 7",TOR,2018,NYY,5.0,8.0,L,4.0
"Sunday, Jul 8",TOR,2018,NYY,1.0,2.0,L,4.0
"Tuesday, Jul 10",TOR,2018,ATL,6.0,2.0,W,4.0
"Wednesday, Jul 11",TOR,2018,ATL,5.0,9.0,L,4.0
"Thursday, Jul 12",TOR,2018,BOS,4.0,6.0,L,4.0
"Friday, Jul 13",TOR,2018,BOS,13.0,7.0,W,4.0
"Saturday, Jul 14",TOR,2018,BOS,2.0,6.0,L-wo,4.0
"Sunday, Jul 15",TOR,2018,BOS,2.0,5.0,L,4.0
"Friday, Jul 20",TOR,2018,BAL,8.0,7.0,W-wo,4.0
"Saturday, Jul 21",TOR,2018,BAL,4.0,1.0,W,4.0
"Sunday, Jul 22",TOR,2018,BAL,5.0,4.0,W,4.0
"Monday, Jul 23",TOR,2018,MIN,3.0,8.0,L,4.0
"Tuesday, Jul 24",TOR,2018,MIN,0.0,5.0,L,4.0
"Wednesday, Jul 25",TOR,2018,MIN,6.0,12.0,L,4.0
"Friday, Jul 27",TOR,2018,CHW,10.0,5.0,W,4.0
"Saturday, Jul 28",TOR,2018,CHW,5.0,9.0,L,4.0
"Sunday, Jul 29",TOR,2018,CHW,7.0,4.0,W,4.0
"Monday, Jul 30",TOR,2018,OAK,1.0,10.0,L,4.0
"Tuesday, Jul 31",TOR,2018,OAK,2.0,6.0,L,4.0
"Wednesday, Aug 1",TOR,2018,OAK,3.0,8.0,L,4.0
"Thursday, Aug 2",TOR,2018,SEA,7.0,3.0,W,4.0
"Friday, Aug 3",TOR,2018,SEA,7.0,2.0,W,4.0
"Saturday, Aug 4",TOR,2018,SEA,5.0,1.0,W,4.0
"Sunday, Aug 5",TOR,2018,SEA,3.0,6.0,L,4.0
"Tuesday, Aug 7",TOR,2018,BOS,7.0,10.0,L,4.0
"Wednesday, Aug 8",TOR,2018,BOS,5.0,10.0,L,4.0
"Thursday, Aug 9",TOR,2018,BOS,8.0,5.0,W,4.0
"Friday, Aug 10",TOR,2018,TBR,0.0,7.0,L,4.0
"Saturday, Aug 11",TOR,2018,TBR,1.0,3.0,L,4.0
"Sunday, Aug 12",TOR,2018,TBR,2.0,1.0,W,4.0
"Monday, Aug 13",TOR,2018,KCR,1.0,3.0,L,4.0
"Tuesday, Aug 14",TOR,2018,KCR,6.0,5.0,W,4.0
"Wednesday, Aug 15",TOR,2018,KCR,6.0,5.0,W,4.0
"Thursday, Aug 16",TOR,2018,KCR,2.0,6.0,L,4.0
"Friday, Aug 17",TOR,2018,NYY,5.0,7.0,L,4.0
"Saturday, Aug 18",TOR,2018,NYY,6.0,11.0,L,4.0
"Sunday, Aug 19",TOR,2018,NYY,2.0,10.0,L,4.0
"Monday, Aug 20",TOR,2018,BAL,5.0,3.0,W,4.0
"Tuesday, Aug 21",TOR,2018,BAL,8.0,2.0,W,4.0
"Wednesday, Aug 22",TOR,2018,BAL,6.0,0.0,W,4.0
"Friday, Aug 24",TOR,2018,PHI,4.0,2.0,W,4.0
"Saturday, Aug 25",TOR,2018,PHI,8.0,6.0,W,4.0
"Sunday, Aug 26",TOR,2018,PHI,3.0,8.0,L,4.0
"Monday, Aug 27",TOR,2018,BAL,0.0,7.0,L,4.0
"Tuesday, Aug 28",TOR,2018,BAL,5.0,12.0,L,4.0
"Wednesday, Aug 29",TOR,2018,BAL,5.0,10.0,L,4.0
"Friday, Aug 31",TOR,2018,MIA,6.0,5.0,W,4.0
"Saturday, Sep 1",TOR,2018,MIA,3.0,6.0,L,4.0
"Sunday, Sep 2",TOR,2018,MIA,6.0,1.0,W,4.0
"Monday, Sep 3",TOR,2018,TBR,1.0,7.0,L,4.0
"Tuesday, Sep 4",TOR,2018,TBR,0.0,4.0,L,4.0
"Wednesday, Sep 5",TOR,2018,TBR,10.0,3.0,W,4.0
"Thursday, Sep 6",TOR,2018,CLE,4.0,9.0,L,4.0
"Friday, Sep 7",TOR,2018,CLE,3.0,2.0,W-wo,4.0
"Saturday, Sep 8",TOR,2018,CLE,8.0,9.0,L,4.0
"Sunday, Sep 9",TOR,2018,CLE,6.0,2.0,W,4.0
"Tuesday, Sep 11",TOR,2018,BOS,2.0,7.0,L,4.0
"Wednesday, Sep 12",TOR,2018,BOS,0.0,1.0,L,4.0
"Thursday, Sep 13",TOR,2018,BOS,3.0,4.0,L,4.0
"Friday, Sep 14",TOR,2018,NYY,0.0,11.0,L,4.0
"Saturday, Sep 15",TOR,2018,NYY,8.0,7.0,W,4.0
"Sunday, Sep 16",TOR,2018,NYY,3.0,2.0,W,4.0
"Monday, Sep 17",TOR,2018,BAL,5.0,0.0,W,4.0
"Tuesday, Sep 18",TOR,2018,BAL,6.0,4.0,W,4.0
"Wednesday, Sep 19",TOR,2018,BAL,1.0,2.0,L,4.0
"Thursday, Sep 20",TOR,2018,TBR,9.0,8.0,W-wo,4.0
"Friday, Sep 21",TOR,2018,TBR,3.0,11.0,L,4.0
"Saturday, Sep 22",TOR,2018,TBR,5.0,2.0,W,4.0
"Sunday, Sep 23",TOR,2018,TBR,2.0,5.0,L,4.0
"Monday, Sep 24",TOR,2018,HOU,3.0,5.0,L,4.0
"Tuesday, Sep 25",TOR,2018,HOU,1.0,4.0,L,4.0
"Wednesday, Sep 26",TOR,2018,HOU,3.0,1.0,W,4.0
"Friday, Sep 28",TOR,2018,TBR,7.0,6.0,W,4.0
"Saturday, Sep 29",TOR,2018,TBR,3.0,4.0,L,4.0
"Sunday, Sep 30",TOR,2018,TBR,4.0,9.0,L,4.0
"Thursday, Mar 29",HOU,2018,TEX,4.0,1.0,W,1.0
"Friday, Mar 30",HOU,2018,TEX,1.0,5.0,L,2.0
"Saturday, Mar 31",HOU,2018,TEX,9.0,3.0,W,1.0
"Sunday, Apr 1",HOU,2018,TEX,8.0,2.0,W,1.0
"Monday, Apr 2",HOU,2018,BAL,6.0,1.0,W,1.0
"Tuesday, Apr 3",HOU,2018,BAL,10.0,6.0,W,1.0
"Wednesday, Apr 4",HOU,2018,BAL,3.0,2.0,W,1.0
"Friday, Apr 6",HOU,2018,SDP,1.0,4.0,L,1.0
"Saturday, Apr 7",HOU,2018,SDP,1.0,0.0,W-wo,1.0
"Sunday, Apr 8",HOU,2018,SDP,4.0,1.0,W,1.0
"Monday, Apr 9",HOU,2018,MIN,2.0,0.0,W,1.0
"Tuesday, Apr 10",HOU,2018,MIN,1.0,4.0,L,1.0
"Wednesday, Apr 11",HOU,2018,MIN,8.0,9.0,L-wo,2.0
"Friday, Apr 13",HOU,2018,TEX,3.0,2.0,W,2.0
"Saturday, Apr 14",HOU,2018,TEX,5.0,6.0,L,2.0
"Sunday, Apr 15",HOU,2018,TEX,1.0,3.0,L,2.0
"Monday, Apr 16",HOU,2018,SEA,1.0,2.0,L,3.0
"Tuesday, Apr 17",HOU,2018,SEA,4.0,1.0,W,2.0
"Wednesday, Apr 18",HOU,2018,SEA,7.0,1.0,W,2.0
"Thursday, Apr 19",HOU,2018,SEA,9.0,2.0,W,2.0
"Friday, Apr 20",HOU,2018,CHW,10.0,0.0,W,1.0
"Saturday, Apr 21",HOU,2018,CHW,10.0,1.0,W,1.0
"Sunday, Apr 22",HOU,2018,CHW,7.0,1.0,W,1.0
"Monday, Apr 23",HOU,2018,LAA,0.0,2.0,L,1.0
"Tuesday, Apr 24",HOU,2018,LAA,7.0,8.0,L,2.0
"Wednesday, Apr 25",HOU,2018,LAA,5.0,2.0,W,1.0
"Friday, Apr 27",HOU,2018,OAK,1.0,8.0,L,1.0
"Saturday, Apr 28",HOU,2018,OAK,11.0,0.0,W,1.0
"Sunday, Apr 29",HOU,2018,OAK,8.0,4.0,W,1.0
"Monday, Apr 30",HOU,2018,NYY,2.0,1.0,W,1.0
"Tuesday, May 1",HOU,2018,NYY,0.0,4.0,L,1.0
"Wednesday, May 2",HOU,2018,NYY,0.0,4.0,L,1.0
"Thursday, May 3",HOU,2018,NYY,5.0,6.0,L,1.0
"Friday, May 4",HOU,2018,ARI,8.0,0.0,W,1.0
"Saturday, May 5",HOU,2018,ARI,3.0,4.0,L-wo,1.0
"Sunday, May 6",HOU,2018,ARI,1.0,3.0,L,2.0
"Monday, May 7",HOU,2018,OAK,16.0,2.0,W,2.0
"Tuesday, May 8",HOU,2018,OAK,4.0,2.0,W,1.0
"Wednesday, May 9",HOU,2018,OAK,4.0,1.0,W,1.0
"Friday, May 11",HOU,2018,TEX,0.0,1.0,L,1.0
"Saturday, May 12",HOU,2018,TEX,6.0,1.0,W,1.0
"Sunday, May 13",HOU,2018,TEX,6.0,1.0,W,1.0
"Monday, May 14",HOU,2018,LAA,1.0,2.0,L,1.0
"Tuesday, May 15",HOU,2018,LAA,5.0,3.0,W,1.0
"Wednesday, May 16",HOU,2018,LAA,2.0,0.0,W,1.0
"Friday, May 18",HOU,2018,CLE,4.0,1.0,W,1.0
"Saturday, May 19",HOU,2018,CLE,4.0,5.0,L,1.0
"Sunday, May 20",HOU,2018,CLE,3.0,1.0,W,1.0
"Tuesday, May 22",HOU,2018,SFG,11.0,2.0,W,1.0
"Wednesday, May 23",HOU,2018,SFG,4.0,1.0,W,1.0
"Thursday, May 24",HOU,2018,CLE,8.0,2.0,W,1.0
"Friday, May 25",HOU,2018,CLE,11.0,2.0,W,1.0
"Saturday, May 26",HOU,2018,CLE,6.0,8.0,L,1.0
"Sunday, May 27",HOU,2018,CLE,9.0,10.0,L-wo,1.0
"Monday, May 28",HOU,2018,NYY,5.0,1.0,W,1.0
"Tuesday, May 29",HOU,2018,NYY,5.0,6.0,L-wo,1.0
"Wednesday, May 30",HOU,2018,NYY,3.0,5.0,L,1.0
"Thursday, May 31",HOU,2018,BOS,4.0,2.0,W,1.0
"Friday, Jun 1",HOU,2018,BOS,7.0,3.0,W,1.0
"Saturday, Jun 2",HOU,2018,BOS,4.0,5.0,L,1.0
"Sunday, Jun 3",HOU,2018,BOS,3.0,9.0,L,2.0
"Tuesday, Jun 5",HOU,2018,SEA,1.0,7.0,L,2.0
"Wednesday, Jun 6",HOU,2018,SEA,7.0,5.0,W,2.0
"Thursday, Jun 7",HOU,2018,TEX,5.0,2.0,W,2.0
"Friday, Jun 8",HOU,2018,TEX,7.0,3.0,W,2.0
"Saturday, Jun 9",HOU,2018,TEX,4.0,3.0,W,1.0
"Sunday, Jun 10",HOU,2018,TEX,8.0,7.0,W,1.0
"Tuesday, Jun 12",HOU,2018,OAK,6.0,3.0,W,2.0
"Wednesday, Jun 13",HOU,2018,OAK,13.0,5.0,W,2.0
"Thursday, Jun 14",HOU,2018,OAK,7.0,3.0,W,1.0
"Friday, Jun 15",HOU,2018,KCR,7.0,3.0,W,1.0
"Saturday, Jun 16",HOU,2018,KCR,10.0,2.0,W,1.0
"Sunday, Jun 17",HOU,2018,KCR,7.0,4.0,W,1.0
"Monday, Jun 18",HOU,2018,TBR,5.0,4.0,W-wo,1.0
"Tuesday, Jun 19",HOU,2018,TBR,1.0,2.0,L,1.0
"Wednesday, Jun 20",HOU,2018,TBR,5.0,1.0,W,1.0
"Friday, Jun 22",HOU,2018,KCR,0.0,1.0,L,1.0
"Saturday, Jun 23",HOU,2018,KCR,4.0,3.0,W-wo,1.0
"Sunday, Jun 24",HOU,2018,KCR,11.0,3.0,W,1.0
"Monday, Jun 25",HOU,2018,TOR,3.0,6.0,L,1.0
"Tuesday, Jun 26",HOU,2018,TOR,7.0,0.0,W,1.0
"Wednesday, Jun 27",HOU,2018,TOR,7.0,6.0,W-wo,1.0
"Thursday, Jun 28",HOU,2018,TBR,1.0,0.0,W,1.0
"Friday, Jun 29",HOU,2018,TBR,2.0,3.0,L,1.0
"Saturday, Jun 30",HOU,2018,TBR,2.0,5.0,L,1.0
"Sunday, Jul 1",HOU,2018,TBR,2.0,3.0,L,1.0
"Tuesday, Jul 3",HOU,2018,TEX,5.0,3.0,W,1.0
"Wednesday, Jul 4",HOU,2018,TEX,5.0,4.0,W,1.0
"Thursday, Jul 5",HOU,2018,CHW,4.0,3.0,W-wo,1.0
"Friday, Jul 6",HOU,2018,CHW,11.0,4.0,W,1.0
"Saturday, Jul 7",HOU,2018,CHW,12.0,6.0,W,1.0
"Sunday, Jul 8",HOU,2018,CHW,2.0,1.0,W,1.0
"Monday, Jul 9",HOU,2018,OAK,0.0,2.0,L,1.0
"Tuesday, Jul 10",HOU,2018,OAK,6.0,5.0,W-wo,1.0
"Wednesday, Jul 11",HOU,2018,OAK,3.0,8.0,L,1.0
"Thursday, Jul 12",HOU,2018,OAK,4.0,6.0,L,1.0
"Friday, Jul 13",HOU,2018,DET,3.0,0.0,W,1.0
"Saturday, Jul 14",HOU,2018,DET,9.0,1.0,W,1.0
"Sunday, Jul 15",HOU,2018,DET,3.0,6.0,L,1.0
"Friday, Jul 20",HOU,2018,LAA,3.0,1.0,W,1.0
"Saturday, Jul 21",HOU,2018,LAA,7.0,0.0,W,1.0
"Sunday, Jul 22",HOU,2018,LAA,5.0,14.0,L,1.0
"Tuesday, Jul 24",HOU,2018,COL,8.0,2.0,W,1.0
"Wednesday, Jul 25",HOU,2018,COL,2.0,3.0,L-wo,1.0
"Friday, Jul 27",HOU,2018,TEX,2.0,11.0,L,1.0
"Saturday, Jul 28",HOU,2018,TEX,3.0,7.0,L,1.0
"Sunday, Jul 29",HOU,2018,TEX,3.0,4.0,L,1.0
"Monday, Jul 30",HOU,2018,SEA,0.0,2.0,L,1.0
"Tuesday, Jul 31",HOU,2018,SEA,5.0,2.0,W,1.0
"Wednesday, Aug 1",HOU,2018,SEA,8.0,3.0,W,1.0
"Friday, Aug 3",HOU,2018,LAD,2.0,1.0,W,1.0
"Saturday, Aug 4",HOU,2018,LAD,14.0,0.0,W,1.0
"Sunday, Aug 5",HOU,2018,LAD,2.0,3.0,L,1.0
"Monday, Aug 6",HOU,2018,SFG,3.0,1.0,W,1.0
"Tuesday, Aug 7",HOU,2018,SFG,2.0,1.0,W,1.0
"Thursday, Aug 9",HOU,2018,SEA,6.0,8.0,L,1.0
"Friday, Aug 10",HOU,2018,SEA,2.0,5.0,L,1.0
"Saturday, Aug 11",HOU,2018,SEA,2.0,3.0,L,1.0
"Sunday, Aug 12",HOU,2018,SEA,3.0,4.0,L,1.0
"Tuesday, Aug 14",HOU,2018,COL,1.0,5.0,L,1.0
"Wednesday, Aug 15",HOU,2018,COL,12.0,1.0,W,1.0
"Friday, Aug 17",HOU,2018,OAK,3.0,4.0,L-wo,1.0
"Saturday, Aug 18",HOU,2018,OAK,1.0,7.0,L,1.0
"Sunday, Aug 19",HOU,2018,OAK,9.0,4.0,W,1.0
"Monday, Aug 20",HOU,2018,SEA,4.0,7.0,L,1.0
"Tuesday, Aug 21",HOU,2018,SEA,3.0,2.0,W,1.0
"Wednesday, Aug 22",HOU,2018,SEA,10.0,7.0,W,1.0
"Friday, Aug 24",HOU,2018,LAA,9.0,3.0,W,1.0
"Saturday, Aug 25",HOU,2018,LAA,8.0,3.0,W,1.0
"Sunday, Aug 26",HOU,2018,LAA,3.0,1.0,W,1.0
"Monday, Aug 27",HOU,2018,OAK,11.0,4.0,W,1.0
"Tuesday, Aug 28",HOU,2018,OAK,3.0,4.0,L,1.0
"Wednesday, Aug 29",HOU,2018,OAK,5.0,4.0,W-wo,1.0
"Thursday, Aug 30",HOU,2018,LAA,2.0,5.0,L,1.0
"Friday, Aug 31",HOU,2018,LAA,0.0,3.0,L,1.0
"Saturday, Sep 1",HOU,2018,LAA,7.0,3.0,W,1.0
"Sunday, Sep 2",HOU,2018,LAA,4.0,2.0,W,1.0
"Monday, Sep 3",HOU,2018,MIN,4.0,1.0,W,1.0
"Tuesday, Sep 4",HOU,2018,MIN,5.0,2.0,W,1.0
"Wednesday, Sep 5",HOU,2018,MIN,9.0,1.0,W,1.0
"Friday, Sep 7",HOU,2018,BOS,6.0,3.0,W,1.0
"Saturday, Sep 8",HOU,2018,BOS,5.0,3.0,W,1.0
"Sunday, Sep 9",HOU,2018,BOS,5.0,6.0,L-wo,1.0
"Monday, Sep 10",HOU,2018,DET,3.0,2.0,W,1.0
"Tuesday, Sep 11",HOU,2018,DET,5.0,4.0,W,1.0
"Wednesday, Sep 12",HOU,2018,DET,5.0,4.0,W,1.0
"Friday, Sep 14",HOU,2018,ARI,2.0,4.0,L,1.0
"Saturday, Sep 15",HOU,2018,ARI,10.0,4.0,W,1.0
"Sunday, Sep 16",HOU,2018,ARI,5.0,4.0,W,1.0
"Monday, Sep 17",HOU,2018,SEA,1.0,4.0,L,1.0
"Tuesday, Sep 18",HOU,2018,SEA,7.0,0.0,W,1.0
"Wednesday, Sep 19",HOU,2018,SEA,0.0,9.0,L,1.0
"Friday, Sep 21",HOU,2018,LAA,11.0,3.0,W,1.0
"Saturday, Sep 22",HOU,2018,LAA,10.0,5.0,W,1.0
"Sunday, Sep 23",HOU,2018,LAA,6.0,2.0,W,1.0
"Monday, Sep 24",HOU,2018,TOR,5.0,3.0,W,1.0
"Tuesday, Sep 25",HOU,2018,TOR,4.0,1.0,W,1.0
"Wednesday, Sep 26",HOU,2018,TOR,1.0,3.0,L,1.0
"Friday, Sep 28",HOU,2018,BAL,2.0,1.0,W,1.0
"Saturday, Sep 29 (1)",HOU,2018,BAL,4.0,3.0,W,1.0
"Saturday, Sep 29 (2)",HOU,2018,BAL,5.0,2.0,W,1.0
"Sunday, Sep 30",HOU,2018,BAL,0.0,4.0,L,1.0
"Friday, Mar 30",DET,2018,PIT,10.0,13.0,L,2.0
"Sunday, Apr 1 (1)",DET,2018,PIT,0.0,1.0,L,5.0
"Sunday, Apr 1 (2)",DET,2018,PIT,6.0,8.0,L,5.0
"Monday, Apr 2",DET,2018,KCR,6.0,1.0,W,4.0
"Tuesday, Apr 3",DET,2018,KCR,0.0,1.0,L,5.0
"Thursday, Apr 5",DET,2018,CHW,9.0,7.0,W,3.0
"Saturday, Apr 7",DET,2018,CHW,6.0,1.0,W,2.0
"Sunday, Apr 8",DET,2018,CHW,1.0,0.0,W,2.0
"Monday, Apr 9",DET,2018,CLE,0.0,2.0,L,3.0
"Tuesday, Apr 10",DET,2018,CLE,1.0,2.0,L,3.0
"Wednesday, Apr 11",DET,2018,CLE,1.0,5.0,L,3.0
"Thursday, Apr 12",DET,2018,CLE,3.0,9.0,L,3.0
"Friday, Apr 13",DET,2018,NYY,6.0,8.0,L,4.0
"Tuesday, Apr 17",DET,2018,BAL,4.0,2.0,W,3.0
"Wednesday, Apr 18",DET,2018,BAL,6.0,5.0,W-wo,3.0
"Thursday, Apr 19",DET,2018,BAL,13.0,8.0,W,3.0
"Friday, Apr 20 (1)",DET,2018,KCR,3.0,2.0,W-wo,3.0
"Friday, Apr 20 (2)",DET,2018,KCR,2.0,3.0,L,3.0
"Saturday, Apr 21",DET,2018,KCR,12.0,4.0,W,3.0
"Sunday, Apr 22",DET,2018,KCR,5.0,8.0,L,3.0
"Wednesday, Apr 25 (1)",DET,2018,PIT,13.0,10.0,W,2.0
"Wednesday, Apr 25 (2)",DET,2018,PIT,3.0,8.0,L,2.0
"Thursday, Apr 26",DET,2018,PIT,0.0,1.0,L-wo,2.0
"Friday, Apr 27",DET,2018,BAL,0.0,6.0,L,2.0
"Saturday, Apr 28",DET,2018,BAL,9.0,5.0,W,2.0
"Sunday, Apr 29",DET,2018,BAL,3.0,5.0,L,2.0
"Monday, Apr 30",DET,2018,TBR,2.0,3.0,L,2.0
"Tuesday, May 1",DET,2018,TBR,2.0,1.0,W,2.0
"Wednesday, May 2",DET,2018,TBR,3.0,2.0,W-wo,2.0
"Thursday, May 3",DET,2018,KCR,6.0,10.0,L,2.0
"Friday, May 4",DET,2018,KCR,2.0,4.0,L,2.0
"Saturday, May 5",DET,2018,KCR,3.0,2.0,W,2.0
"Sunday, May 6",DET,2018,KCR,2.0,4.0,L,3.0
"Monday, May 7",DET,2018,TEX,6.0,7.0,L,3.0
"Tuesday, May 8",DET,2018,TEX,7.0,4.0,W,3.0
"Wednesday, May 9",DET,2018,TEX,4.0,5.0,L-wo,3.0
"Saturday, May 12 (1)",DET,2018,SEA,4.0,3.0,W,3.0
"Saturday, May 12 (2)",DET,2018,SEA,5.0,9.0,L,3.0
"Sunday, May 13",DET,2018,SEA,5.0,4.0,W-wo,3.0
"Monday, May 14",DET,2018,CLE,6.0,3.0,W,3.0
"Tuesday, May 15",DET,2018,CLE,9.0,8.0,W,3.0
"Wednesday, May 16",DET,2018,CLE,0.0,6.0,L,3.0
"Thursday, May 17",DET,2018,SEA,3.0,2.0,W,2.0
"Friday, May 18",DET,2018,SEA,4.0,5.0,L,2.0
"Saturday, May 19",DET,2018,SEA,2.0,7.0,L,2.0
"Sunday, May 20",DET,2018,SEA,2.0,3.0,L-wo,3.0
"Monday, May 21",DET,2018,MIN,2.0,4.0,L,3.0
"Tuesday, May 22",DET,2018,MIN,0.0,6.0,L,3.0
"Wednesday, May 23",DET,2018,MIN,4.0,1.0,W,3.0
"Friday, May 25",DET,2018,CHW,5.0,4.0,W,3.0
"Saturday, May 26",DET,2018,CHW,4.0,8.0,L,3.0
"Sunday, May 27",DET,2018,CHW,3.0,2.0,W,2.0
"Monday, May 28",DET,2018,LAA,9.0,3.0,W,2.0
"Tuesday, May 29",DET,2018,LAA,2.0,9.0,L,2.0
"Wednesday, May 30",DET,2018,LAA,6.0,1.0,W,2.0
"Thursday, May 31",DET,2018,LAA,6.0,2.0,W,2.0
"Friday, Jun 1",DET,2018,TOR,5.0,2.0,W,2.0
"Saturday, Jun 2",DET,2018,TOR,7.0,4.0,W,2.0
"Sunday, Jun 3",DET,2018,TOR,4.0,8.0,L,2.0
"Monday, Jun 4 (1)",DET,2018,NYY,4.0,7.0,L,2.0
"Monday, Jun 4 (2)",DET,2018,NYY,4.0,2.0,W,2.0
"Tuesday, Jun 5",DET,2018,BOS,0.0,6.0,L,2.0
"Wednesday, Jun 6",DET,2018,BOS,1.0,7.0,L,2.0
"Thursday, Jun 7",DET,2018,BOS,7.0,2.0,W,2.0
"Friday, Jun 8",DET,2018,CLE,1.0,4.0,L,2.0
"Saturday, Jun 9",DET,2018,CLE,4.0,2.0,W-wo,2.0
"Sunday, Jun 10",DET,2018,CLE,2.0,9.0,L,2.0
"Tuesday, Jun 12",DET,2018,MIN,4.0,6.0,L,3.0
"Wednesday, Jun 13",DET,2018,MIN,5.0,2.0,W,2.0
"Thursday, Jun 14",DET,2018,MIN,3.0,1.0,W,2.0
"Friday, Jun 15",DET,2018,CHW,4.0,3.0,W,2.0
"Saturday, Jun 16",DET,2018,CHW,7.0,5.0,W,2.0
"Sunday, Jun 17",DET,2018,CHW,3.0,1.0,W,2.0
"Tuesday, Jun 19",DET,2018,CIN,5.0,9.0,L,2.0
"Wednesday, Jun 20",DET,2018,CIN,3.0,5.0,L,2.0
"Friday, Jun 22",DET,2018,CLE,0.0,10.0,L,2.0
"Saturday, Jun 23",DET,2018,CLE,1.0,4.0,L,2.0
"Sunday, Jun 24",DET,2018,CLE,2.0,12.0,L,2.0
"Monday, Jun 25",DET,2018,OAK,4.0,5.0,L,3.0
"Tuesday, Jun 26",DET,2018,OAK,7.0,9.0,L,3.0
"Wednesday, Jun 27",DET,2018,OAK,0.0,3.0,L,3.0
"Thursday, Jun 28",DET,2018,OAK,2.0,4.0,L,3.0
"Friday, Jun 29",DET,2018,TOR,2.0,3.0,L,3.0
"Saturday, Jun 30",DET,2018,TOR,3.0,4.0,L-wo,3.0
"Sunday, Jul 1",DET,2018,TOR,9.0,1.0,W,3.0
"Monday, Jul 2",DET,2018,TOR,3.0,2.0,W,2.0
"Tuesday, Jul 3",DET,2018,CHC,3.0,5.0,L,2.0
"Wednesday, Jul 4",DET,2018,CHC,2.0,5.0,L,2.0
"Thursday, Jul 5",DET,2018,TEX,5.0,7.0,L,3.0
"Friday, Jul 6",DET,2018,TEX,3.0,1.0,W,3.0
"Saturday, Jul 7",DET,2018,TEX,7.0,2.0,W,3.0
"Sunday, Jul 8",DET,2018,TEX,0.0,3.0,L,3.0
"Monday, Jul 9",DET,2018,TBR,9.0,10.0,L-wo,3.0
"Tuesday, Jul 10",DET,2018,TBR,2.0,5.0,L,3.0
"Wednesday, Jul 11",DET,2018,TBR,2.0,4.0,L,3.0
"Friday, Jul 13",DET,2018,HOU,0.0,3.0,L,3.0
"Saturday, Jul 14",DET,2018,HOU,1.0,9.0,L,3.0
"Sunday, Jul 15",DET,2018,HOU,6.0,3.0,W,3.0
"Friday, Jul 20",DET,2018,BOS,0.0,1.0,L,3.0
"Saturday, Jul 21",DET,2018,BOS,5.0,0.0,W,3.0
"Sunday, Jul 22",DET,2018,BOS,1.0,9.0,L,3.0
"Monday, Jul 23",DET,2018,KCR,5.0,4.0,W,3.0
"Tuesday, Jul 24",DET,2018,KCR,4.0,5.0,L,3.0
"Wednesday, Jul 25",DET,2018,KCR,8.0,4.0,W,3.0
"Friday, Jul 27",DET,2018,CLE,3.0,8.0,L,3.0
"Saturday, Jul 28",DET,2018,CLE,2.0,1.0,W,3.0
"Sunday, Jul 29",DET,2018,CLE,1.0,8.0,L,3.0
"Tuesday, Jul 31",DET,2018,CIN,2.0,1.0,W,3.0
"Wednesday, Aug 1",DET,2018,CIN,7.0,4.0,W,3.0
"Friday, Aug 3",DET,2018,OAK,0.0,1.0,L-wo,3.0
"Saturday, Aug 4",DET,2018,OAK,1.0,2.0,L,3.0
"Sunday, Aug 5",DET,2018,OAK,0.0,6.0,L,3.0
"Monday, Aug 6",DET,2018,LAA,2.0,6.0,L,3.0
"Tuesday, Aug 7",DET,2018,LAA,5.0,11.0,L,3.0
"Wednesday, Aug 8",DET,2018,LAA,0.0,6.0,L,3.0
"Friday, Aug 10",DET,2018,MIN,5.0,3.0,W,3.0
"Saturday, Aug 11",DET,2018,MIN,3.0,4.0,L,3.0
"Sunday, Aug 12",DET,2018,MIN,4.0,2.0,W,3.0
"Monday, Aug 13",DET,2018,CHW,9.0,5.0,W,3.0
"Tuesday, Aug 14",DET,2018,CHW,3.0,6.0,L,3.0
"Wednesday, Aug 15",DET,2018,CHW,5.0,6.0,L,3.0
"Thursday, Aug 16",DET,2018,MIN,8.0,15.0,L,3.0
"Friday, Aug 17",DET,2018,MIN,4.0,5.0,L,3.0
"Saturday, Aug 18",DET,2018,MIN,7.0,5.0,W,3.0
"Sunday, Aug 19",DET,2018,MIN,4.0,5.0,L,3.0
